,Theta
0,0.034192011343360106
1,0.06852091761945894
2,-0.005700688531073257
3,-0.042310705131404135
4,0.007003473392908794
5,-0.0015767661392245673
6,0.2975889285962401
7,-0.00037932755475765696
8,-0.01413132567609556
9,0.009720463103540987
10,-0.03413715514163082
11,-0.09515026127561133
12,0.06220808024785576
13,-0.002167553006415441
14,0.24120291731753815
15,-0.04674120642039768
16,-0.007263076864968939
17,-0.014556730890779713
18,-0.005410305783589589
19,-0.011208494337425618
20,0.0024667468091650307
21,-0.0641123773907532
22,-0.030000008922145768
23,0.06432719981555947
24,-0.004194641995387609
25,-0.021244802432225342
26,-0.010376538185106142
27,-0.0012464777495659698
28,-0.02068408469470547
29,0.08292257941764614
30,0.038897593170541235
31,0.03375821953782312
32,-0.056913366783987424
33,0.0002540052454146796
34,-0.0011790316713924257
35,-0.04998337116629877
36,-0.0015995059930846804
37,0.14786248589442644
38,0.0564787806528216
39,-0.025794958000364247
40,-0.026061212690630844
41,0.0036374997203104577
42,-0.005616680122109422
43,0.0001959763335444916
44,-0.04991602105076127
45,0.03392657088116244
46,0.0003930291803809915
47,0.0015656169301326928
48,0.0005000530554502892
49,0.0004978162123896025
50,-0.05956742397143785
51,0.010795752637848209
52,-0.017406844527172918
53,-0.0020350341236986843
54,-0.02722218886744067
55,0.0017359710410298698
56,0.0046280310949277535
57,0.10773563394504253
58,0.010771747822176776
59,0.030956198597348387
60,0.000398333208619648
61,1.0122544526167831e-06
62,0.10445443411591784
63,0.06334669616745624
64,-0.019998093711833014
65,0.02560932899053572
66,-0.006621572034170385
67,-0.0008594834389468232
68,-0.0027085023067789675
69,-0.0030708800182931728
70,0.003187923415790212
71,-0.00033905491853241515
72,-0.024570972768207296
73,0.08582767239556438
74,0.0025938719201350755
75,-0.0834650940838241
76,-0.002510138270402361
77,0.003565162704747356
78,-0.011923207660623159
79,-0.008279068874920905
80,0.00419071669907959
81,0.0013003206815350814
82,0.009313248927821463
83,0.006268031478123896
84,-0.040888095579310516
85,0.03552309399187088
86,-0.005663006850038055
87,0.01011431848501358
88,-0.008031519359849556
89,0.0014381042180472935
90,0.06239583904340607
91,0.015396642637980913
92,0.056998583459240276
93,-0.024338048501788858
94,-0.09230171573985728
95,0.07039903324736473
96,0.050341261362671016
97,0.11923790625082548
98,0.03317394199818343
99,-0.04615881306855242
100,0.008209422810743033
101,0.028594360769457157
102,0.0953975291934731
103,0.054249698431672815
104,-0.019712136812944262
105,-0.0011403573928678887
106,0.0248443006164771
107,0.364225183637695
108,-0.15959623607270526
109,0.04821143733708468
110,-0.07729807980650885
111,-0.00958645732704427
112,0.039675707334472614
113,0.018428173096049816
114,-0.012964518679336323
115,-0.024653030970600773
116,-0.0032434432448535445
117,0.11114696284787368
118,0.09289333781552757
119,-0.0691640201300829
120,0.06426041207116333
121,0.027847193189613626
122,-0.0443024404519203
123,-0.1888930115149024
124,0.002383567602886113
125,0.002936721282838411
126,0.0025845117239965093
127,-0.09156010311159762
128,0.015680592308228162
129,-0.1096809143147122
130,0.007594746754101044
131,-0.07222566902586308
132,0.055828252726301784
133,-0.07474664195765837
134,-0.001843237291412332
135,0.0562331521470599
136,0.16543133475195654
137,-0.0655209277420929
138,-0.010456543361582823
139,-0.034912081091461114
140,0.11374014279873422
141,0.010936149413462541
142,0.022451925245060008
143,-0.034515991560963494
144,0.02780667208175601
145,0.0019902080162105674
146,-0.031832101246830065
147,0.0037868849950538092
