,Theta
0,0.03896673752122813
1,0.08568176008393891
2,-0.00941480400858613
3,0.007281578042911965
4,-0.0015867968588855618
5,0.23531826579060203
6,-0.0003878299856059895
7,-0.000727501590626116
8,-0.004061216923863546
9,-0.032582414164685
10,0.04982811209455482
11,0.2489758325877945
12,-0.0005979347659671279
13,-0.0016270445887925596
14,-0.003742390690524068
15,-0.014866457640063982
16,-0.024021141259343837
17,-0.0037374144597877705
18,0.008259709337947039
19,0.07126443682001155
20,0.022043001786442397
21,-0.042392090888920896
22,-0.0020503476502386517
23,-0.0035337551917564835
24,0.00020122797274892698
25,-0.0012568569423702068
26,0.12275502021670812
27,0.05682271644274023
28,-0.0025395154923951147
29,-0.002683851527922604
30,-0.002296973347647208
31,0.0006810745384205329
32,0.0002379514166666867
33,-0.0008754447054403204
34,0.0003707321061498901
35,-0.05632138667904378
36,-0.03791000583593258
37,0.008711253107613625
38,-0.0037263031586294805
39,-0.014228988860804348
40,0.0024365002471969156
41,0.11813042908808723
42,0.029390624955884494
43,0.0026003947563724887
44,0.00031033605802413024
45,0.05811986494594209
46,0.05762047064884705
47,-0.0004488420064137351
48,-0.0017646625135476124
49,-0.040329625707845144
50,0.0004492900590316933
51,0.0015260485761295025
52,-0.01985404660508263
53,0.0017356464189368429
54,0.014001326795357275
55,0.00482439704161041
56,0.0011419177376284487
57,0.006593104361489981
58,-0.0014459353235919173
59,0.006841143992453479
60,-0.07194587079680725
61,-0.007266682815933992
62,0.02303540322367897
63,0.009286770420796064
64,0.0018786866520173495
65,0.0005485373229933238
66,0.035836948393144184
67,-0.005799010666418645
68,-0.022578038235242088
69,0.010109057998163128
70,-0.0712103267324363
71,0.047875754450676315
72,0.07396735054255045
73,0.0340832369400895
74,0.03365360811699208
75,0.038161984737251915
76,0.021926277262732784
77,0.25676166888092145
78,0.008452766275170293
79,-0.10161781440958739
80,0.020531256151930893
81,0.030802900069933466
82,0.03430762362801205
83,-0.0114427307207996
84,-0.01322485358505917
85,0.07250001925129149
86,0.028498964390465557
87,-0.027222041138627723
88,-0.11508893535772122
89,0.0005306711766375465
90,0.0009090203308409473
91,0.0053086568031550365
92,-0.08311357638917781
93,-0.005445245446138463
94,-0.0778980731436476
95,0.043065194520949916
96,-0.0022264040172326155
97,0.04923852339441143
98,-0.040181957801197696
99,-0.008386260146176999
100,-0.04908989922462677
101,0.11074631854868384
102,0.02993539438569437
103,0.004003168817414447
